date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2021-08-10,3488.66,3529.93,3529.93,3477.06,3451130.0,35.3,1.01,3485.312,3450.951,3487.711,3458057.3,3684490.38,3747476.15
2021-08-09,3441.75,3502.84,3494.63,3438.7,3499101.0,36.4,1.05,3468.924,3436.076,3489.541,3569227.45,3808452.83,3756128.0
2021-08-06,3465.48,3466.39,3458.23,3436.93,3368244.0,-8.32,-0.24,3462.856,3433.357,3492.201,3735262.95,3901424.93,3782992.73
2021-08-05,3461.72,3486.16,3466.55,3449.39,3484369.25,-10.67,-0.31,3450.682,3442.574,3495.494,3824496.05,4011021.78,3789522.69
2021-08-04,3442.94,3477.6,3477.22,3440.78,3487442.25,29.23,0.85,3439.716,3453.392,3498.442,3816761.05,4043651.9,3790743.15
2021-08-03,3446.78,3470.66,3447.99,3435.46,4006980.75,-16.3,-0.47,3416.59,3461.936,3502.267,3910923.45,4033886.43,3775790.64
2021-08-02,3385.69,3464.29,3464.29,3367.64,4329278.5,66.93,1.97,3403.228,3470.816,3506.38,4047678.2,3926968.95,3732476.7
2021-07-30,3398.2,3404.88,3397.36,3370.45,3814409.5,-14.36,-0.42,3403.858,3478.299,3509.882,4067586.9,3830802.05,3660060.19
2021-07-29,3403.84,3416.61,3411.72,3382.57,3445694.25,50.13,1.49,3434.466,3492.493,3515.952,4197547.5,3815375.88,3615312.49
2021-07-28,3355.82,3385.54,3361.59,3312.72,3958254.25,-19.59,-0.58,3467.068,3507.78,3524.805,4270542.75,3834065.63,3588969.38
2021-07-27,3467.45,3483.87,3381.18,3380.28,4690754.5,-86.26,-2.49,3507.282,3524.471,3536.285,4156849.4,3810461.93,3525138.08
2021-07-26,3538.01,3538.01,3467.44,3424.74,4428822.0,-82.96,-2.34,3538.404,3543.005,3545.885,3806259.7,3703803.18,3443635.94
2021-07-23,3571.72,3571.85,3550.4,3541.51,4464212.5,-24.33,-0.68,3552.74,3551.045,3552.832,3594017.2,3664560.53,3382832.33
2021-07-22,3563.66,3576.47,3574.73,3558.29,3810670.5,12.07,0.34,3550.52,3548.414,3555.69,3433204.25,3568023.6,3332665.61
2021-07-21,3543.05,3569.09,3562.66,3543.05,3389787.5,25.87,0.73,3548.492,3543.491,3555.286,3397588.5,3537834.4,3309852.46
2021-07-20,3515.07,3538.64,3536.79,3509.19,2937806.0,-2.33,-0.07,3541.66,3542.597,3555.464,3464074.45,3517694.85,3295717.85
2021-07-19,3530.49,3544.88,3539.12,3506.34,3367609.5,-0.18,-0.01,3547.606,3541.944,3556.495,3601346.65,3537984.45,3302595.75
2021-07-16,3559.53,3566.0,3539.3,3537.73,3660147.75,-25.29,-0.71,3549.35,3541.464,3555.998,3735103.85,3489318.33,3274664.41
