date,open,close,high,low,volume
2007-12-20,4965.29,5043.54,5050.79,4923.29,5774
2007-12-21,5017.19,5101.78,5112.39,5013.76,6614
2007-12-24,5132.91,5234.26,5284.34,5104.65,8508
2007-12-25,5233.17,5201.18,5254.4,5178.8,7102
2007-12-26,5209.04,5233.35,5262.59,5158.76,7445
2007-12-27,5248.22,5308.89,5316.52,5203.5,8732
2007-12-28,5320.01,5261.56,5336.5,5248.69,7718
2008-01-02,5265.0,5272.81,5295.02,5201.89,7656
2008-01-03,5269.8,5319.86,5321.46,5211.05,9851
2008-01-04,5328.41,5361.57,5372.46,5318.46,8087
2008-01-07,5357.45,5393.34,5403.35,5332.6,9193
2008-01-08,5414.56,5386.53,5480.07,5344.65,10247
2008-01-09,5365.22,5435.81,5437.76,5346.85,7680
2008-01-10,5449.16,5456.54,5483.83,5407.31,9655
2008-01-11,5471.39,5484.68,5500.06,5423.81,8772
2008-01-14,5507.58,5497.9,5522.78,5456.93,7871
2008-01-15,5503.93,5443.79,5505.04,5405.6,8071
2008-01-16,5395.28,5290.61,5396.04,5288.77,8927
2008-01-17,5235.91,5151.63,5312.29,5039.79,9894
2008-01-18,5141.37,5180.51,5187.6,5093.13,6863
2008-01-21,5188.79,4914.44,5200.93,4891.29,7564
2008-01-22,4818.0,4559.75,4818.0,4511.95,9249
2008-01-23,4572.9,4703.05,4705.07,4510.5,8796
2008-01-24,4753.44,4717.73,4767.8,4625.46,9003
2008-01-25,4716.98,4761.69,4806.89,4657.71,7792
2008-01-28,4720.56,4419.29,4720.56,4409.08,6935
2008-01-29,4426.27,4457.94,4517.6,4389.52,5035
2008-01-30,4505.63,4417.85,4554.34,4330.7,5508
2008-01-31,4408.02,4383.39,4487.32,4368.3,4514
2008-02-01,4388.25,4320.77,4411.7,4195.75,5930
2008-02-04,4415.02,4672.17,4672.21,4415.02,6337
2008-02-05,4622.54,4599.7,4662.97,4550.43,5261
2008-02-13,4525.03,4490.72,4547.54,4454.64,3691
2008-02-14,4527.05,4552.32,4576.98,4507.94,3491
2008-02-15,4523.79,4497.13,4523.79,4431.46,4138
2008-02-18,4546.75,4568.15,4601.22,4517.6,5582
2008-02-19,4582.28,4664.29,4665.55,4544.94,6066
2008-02-20,4682.59,4567.03,4695.8,4556.81,6647
2008-02-21,4534.17,4527.18,4568.21,4452.67,6130
2008-02-22,4500.38,4370.29,4500.38,4333.03,6760
2008-02-25,4370.19,4192.53,4391.33,4182.77,5881
2008-02-26,4302.73,4238.18,4331.64,4123.31,5568
2008-02-27,4256.53,4334.05,4360.7,4222.46,5052
2008-02-28,4343.28,4299.51,4344.93,4265.5,4792
2008-02-29,4293.53,4348.54,4364.81,4275.9,4783
2008-03-03,4323.7,4438.27,4456.96,4279.35,7851
2008-03-04,4454.18,4335.45,4472.15,4321.27,8695
2008-03-05,4316.25,4292.65,4352.82,4210.96,7410
