date,上证综指,创业板
2012-07-09,2170.81,722.28
2012-07-10,2164.44,713.53
2012-07-11,2175.38,719.3
2012-07-12,2185.49,734.32
2012-07-13,2185.9,725.79
2012-07-16,2147.96,691.39
2012-07-17,2161.19,697.0
2012-07-18,2169.1,702.14
2012-07-19,2184.84,709.17
2012-07-20,2168.64,706.25
2012-07-23,2141.4,704.57
2012-07-24,2146.59,706.4
2012-07-25,2136.15,708.3
2012-07-26,2126.0,706.72
2012-07-27,2128.76,703.58
2012-07-30,2109.91,688.47
2012-07-31,2103.63,676.96
2012-08-01,2123.36,689.49
2012-08-02,2111.18,690.98
2012-08-03,2132.8,711.92
2012-08-06,2154.92,730.42
2012-08-07,2157.62,736.01
2012-08-08,2160.99,730.07
2012-08-09,2174.1,743.2
2012-08-10,2168.81,743.07
2012-08-13,2136.08,727.64
2012-08-14,2142.52,736.35
2012-08-15,2118.95,729.73
2012-08-16,2112.2,723.53
2012-08-17,2114.89,721.05
2012-08-20,2106.96,730.87
2012-08-21,2118.27,748.93
2012-08-22,2107.71,746.85
2012-08-23,2113.07,750.56
2012-08-24,2092.1,733.31
2012-08-27,2055.71,722.57
2012-08-28,2073.15,727.62
2012-08-29,2053.24,726.94
2012-08-30,2052.58,704.03
2012-08-31,2047.52,706.62
2012-09-03,2059.15,723.87
2012-09-04,2043.65,722.72
2012-09-05,2037.68,730.62
2012-09-06,2051.92,739.74
2012-09-07,2127.76,759.46
2012-09-10,2134.89,762.31
2012-09-11,2120.55,761.73
2012-09-12,2126.55,762.51
2012-09-13,2110.38,749.89
2012-09-14,2123.85,744.46
2012-09-17,2078.5,724.15
2012-09-18,2059.54,723.61
2012-09-19,2067.83,728.25
2012-09-20,2024.84,706.69
2012-09-21,2026.69,691.14
2012-09-24,2033.19,690.34
2012-09-25,2029.29,682.34
2012-09-26,2004.17,661.49
2012-09-27,2056.32,676.96
2012-09-28,2086.17,689.64
2012-10-08,2074.42,690.77
2012-10-09,2115.23,712.7
2012-10-10,2119.94,721.85
2012-10-11,2102.87,711.8
2012-10-12,2104.93,708.87
2012-10-15,2098.7,701.96
2012-10-16,2098.81,705.39
2012-10-17,2105.62,709.09
2012-10-18,2131.69,720.52
2012-10-19,2128.3,719.45
2012-10-22,2132.76,724.28
2012-10-23,2114.45,711.26
2012-10-24,2115.99,707.75
2012-10-25,2101.58,697.44
2012-10-26,2066.21,685.33
2012-10-29,2058.94,688.12
2012-10-30,2062.35,689.61
2012-10-31,2068.88,691.65
2012-11-01,2104.43,701.78
2012-11-02,2117.05,701.38
2012-11-05,2114.03,692.87
2012-11-06,2106.0,690.5
2012-11-07,2105.73,689.75
2012-11-08,2071.51,675.85
2012-11-09,2069.07,672.67
2012-11-12,2079.27,676.6
2012-11-13,2047.89,667.33
2012-11-14,2055.42,665.18
2012-11-15,2030.29,659.21
2012-11-16,2014.72,656.2
2012-11-19,2016.98,656.94
2012-11-20,2008.92,656.61
2012-11-21,2030.32,660.03
2012-11-22,2015.61,651.83
2012-11-23,2027.38,651.43
2012-11-26,2017.46,638.88
2012-11-27,1991.17,616.28
2012-11-28,1973.52,607.67
2012-11-29,1963.49,603.17
2012-11-30,1980.12,606.77
2012-12-03,1959.77,593.66
2012-12-04,1975.14,600.8
2012-12-05,2031.91,624.82
2012-12-06,2029.24,624.32
2012-12-07,2061.79,637.49
2012-12-10,2083.77,646.32
2012-12-11,2074.7,641.17
2012-12-12,2082.73,639.51
2012-12-13,2061.48,632.18
2012-12-14,2150.62,656.22
2012-12-17,2160.34,649.61
2012-12-18,2162.46,646.05
2012-12-19,2162.24,652.1
2012-12-20,2168.35,658.31
2012-12-21,2153.31,668.09
2012-12-24,2159.05,679.76
2012-12-25,2213.61,694.12
2012-12-26,2219.13,709.08
2012-12-27,2205.9,699.57
2012-12-28,2233.25,707.67
2012-12-31,2269.13,713.86
2013-01-04,2276.99,705.34
2013-01-07,2285.36,718.11
2013-01-08,2276.07,733.14
2013-01-09,2275.34,734.51
2013-01-10,2283.66,741.18
2013-01-11,2243.0,731.59
2013-01-14,2311.74,760.55
2013-01-15,2325.68,778.6
2013-01-16,2309.5,774.48
2013-01-17,2284.91,768.31
2013-01-18,2317.07,787.39
2013-01-21,2328.22,792.6
2013-01-22,2315.14,775.14
2013-01-23,2320.91,778.48
2013-01-24,2302.6,757.87
2013-01-25,2291.3,762.85
2013-01-28,2346.5,784.76
2013-01-29,2358.98,791.67
2013-01-30,2382.48,783.68
2013-01-31,2385.42,776.01
2013-02-01,2419.02,782.36
2013-02-04,2428.15,771.9
2013-02-05,2433.13,780.98
2013-02-06,2434.48,791.26
2013-02-07,2418.53,805.59
2013-02-08,2432.4,823.03
2013-02-18,2421.56,835.28
2013-02-19,2382.91,819.71
2013-02-20,2397.18,850.86
2013-02-21,2325.95,839.3
2013-02-22,2314.16,838.76
2013-02-25,2325.82,855.69
2013-02-26,2293.34,851.22
2013-02-27,2313.22,846.09
2013-02-28,2365.59,861.09
2013-03-01,2359.51,884.89
2013-03-04,2273.4,863.5
2013-03-05,2326.31,888.1
2013-03-06,2347.18,902.9
2013-03-07,2324.29,877.34
2013-03-08,2318.61,864.7
2013-03-11,2310.59,869.15
2013-03-12,2286.6,839.84
2013-03-13,2263.97,834.05
