date,open,close,high,low,volume,ma5,ma20,macd,macdsignal,macdhist
2021-09-29,3573.52,3536.29,3573.52,3518.05,45251,3595.33,3626.0,11.69,26.95,-15.26
2021-09-30,3541.93,3568.17,3572.43,3541.93,39562,3580.52,3627.21,7.74,23.11,-15.37
2021-10-08,3609.09,3592.17,3612.55,3571.73,40716,3576.34,3628.47,6.47,19.78,-13.31
2021-10-11,3600.36,3591.71,3614.7,3586.75,39436,3578.11,3628.2,5.37,16.9,-11.53
2021-10-12,3581.3,3546.94,3583.64,3515.14,40539,3567.06,3626.46,0.87,13.69,-12.82
2021-10-13,3543.49,3561.76,3569.13,3515.65,32505,3572.15,3623.46,-1.48,10.66,-12.14
2021-10-14,3555.11,3558.28,3569.69,3547.18,29496,3570.17,3617.54,-3.58,7.81,-11.39
2021-10-15,3551.99,3572.37,3578.77,3542.69,32029,3566.21,3612.4,-4.07,5.43,-9.5
2021-10-18,3571.05,3568.14,3571.05,3539.48,34095,3561.5,3606.15,-4.74,3.4,-8.14
2021-10-19,3562.3,3593.15,3596.79,3560.62,33419,3570.74,3600.65,-3.21,2.08,-5.29
2021-10-20,3583.24,3587.0,3596.05,3574.3,34424,3575.79,3594.23,-2.47,1.17,-3.64
2021-10-21,3590.05,3594.78,3610.96,3576.35,35231,3583.09,3590.84,-1.24,0.69,-1.93
2021-10-22,3594.75,3582.6,3607.58,3578.76,35315,3585.13,3587.16,-1.24,0.3,-1.54
2021-10-25,3574.26,3609.86,3611.09,3564.21,32119,3593.48,3587.3,0.96,0.43,0.52
2021-10-26,3612.83,3597.64,3625.02,3589.71,33727,3594.38,3586.48,1.69,0.68,1.0
2021-10-27,3589.86,3562.31,3589.86,3553.13,35062,3589.44,3583.18,-0.58,0.43,-1.01
2021-10-28,3548.7,3518.42,3552.04,3509.49,37817,3574.17,3576.99,-5.84,-0.82,-5.02
2021-10-29,3519.33,3547.34,3547.34,3502.8,35880,3567.11,3573.7,-7.6,-2.18,-5.42
2021-11-01,3530.4,3544.48,3556.59,3519.29,38225,3554.04,3571.78,-9.11,-3.57,-5.55
2021-11-02,3543.38,3505.63,3559.05,3477.66,41756,3535.64,3566.95,-13.3,-5.51,-7.78
2021-11-03,3501.11,3498.54,3512.61,3480.49,30660,3522.88,3565.06,-16.99,-7.81,-9.18
2021-11-04,3505.89,3526.87,3527.95,3503.01,31944,3524.57,3563.0,-17.43,-9.73,-7.7
2021-11-05,3520.21,3491.57,3525.87,3491.46,35453,3513.42,3557.97,-20.39,-11.86,-8.52
2021-11-08,3491.97,3498.63,3507.27,3484.24,29818,3504.25,3553.32,-21.91,-13.87,-8.04
2021-11-09,3507.11,3507.0,3514.95,3489.04,28731,3504.52,3551.32,-22.19,-15.53,-6.65
2021-11-10,3498.94,3492.46,3498.94,3448.44,30703,3503.31,3547.85,-23.31,-17.09,-6.22
2021-11-11,3486.45,3532.79,3534.2,3482.83,32208,3504.49,3546.58,-20.71,-17.81,-2.9
2021-11-12,3534.15,3539.1,3543.65,3527.39,30868,3514.0,3544.92,-17.93,-17.84,-0.09
2021-11-15,3542.9,3533.3,3550.44,3521.29,31301,3520.93,3543.17,-16.01,-17.47,1.46
2021-11-16,3530.46,3521.79,3549.77,3517.81,31039,3523.89,3539.61,-15.25,-17.03,1.78
2021-11-17,3518.56,3537.37,3537.51,3513.52,27673,3532.87,3537.12,-13.23,-16.27,3.04
2021-11-18,3531.49,3520.71,3537.98,3513.11,31242,3530.45,3533.42,-12.83,-15.58,2.75
2021-11-19,3519.28,3560.37,3561.91,3517.65,31798,3534.71,3532.31,-9.2,-14.3,5.1
2021-11-22,3562.76,3582.08,3585.19,3562.75,33000,3544.46,3530.92,-4.52,-12.35,7.82
2021-11-23,3580.51,3589.09,3598.37,3577.36,36001,3557.92,3530.49,-0.25,-9.93,9.68
2021-11-24,3590.02,3592.7,3602.74,3575.29,33677,3568.99,3532.01,3.39,-7.26,10.66
2021-11-25,3593.39,3584.18,3597.15,3579.53,30645,3581.68,3535.3,5.53,-4.71,10.23
2021-11-26,3576.11,3564.09,3576.11,3554.88,30100,3582.43,3536.14,5.53,-2.66,8.19
2021-11-29,3528.67,3562.7,3563.68,3526.36,33361,3578.55,3537.05,5.36,-1.05,6.42
2021-11-30,3570.75,3563.89,3582.12,3546.36,34918,3573.51,3539.96,5.26,0.21,5.05
2021-12-01,3561.89,3576.89,3576.89,3558.69,32987,3570.35,3543.88,6.16,1.4,4.76
2021-12-02,3573.25,3573.84,3586.87,3567.14,35404,3568.28,3546.23,6.56,2.43,4.12
2021-12-03,3576.45,3607.43,3608.47,3573.21,37755,3576.95,3552.02,9.47,3.84,5.63
2021-12-06,3615.24,3589.31,3626.13,3586.81,41867,3582.27,3556.55,10.19,5.11,5.08
2021-12-07,3611.22,3595.09,3614.22,3572.57,40384,3588.51,3560.96,11.11,6.31,4.8
2021-12-08,3602.82,3637.57,3637.72,3591.99,36103,3600.65,3568.21,15.09,8.07,7.02
2021-12-09,3641.16,3673.04,3688.4,3638.7,43191,3620.49,3575.23,20.86,10.63,10.24
2021-12-10,3654.37,3666.35,3667.85,3651.35,41998,3632.27,3581.59,24.62,13.42,11.19
2021-12-13,3686.94,3681.08,3708.94,3678.06,42409,3650.63,3588.98,28.45,16.43,12.02
2021-12-14,3669.81,3661.53,3671.68,3654.66,36217,3663.91,3595.97,29.57,19.06,10.51
2021-12-15,3655.05,3647.63,3668.4,3645.24,37747,3665.93,3601.48,29.01,21.05,7.96
2021-12-16,3648.93,3675.02,3675.02,3644.66,38132,3666.32,3609.19,30.41,22.92,7.49
2021-12-17,3670.26,3632.36,3673.65,3631.66,40848,3659.52,3612.79,27.77,23.89,3.88
2021-12-20,3620.04,3593.6,3643.95,3589.36,42385,3642.03,3613.37,22.29,23.57,-1.28
2021-12-21,3591.45,3625.13,3627.09,3591.45,40818,3634.75,3615.17,20.26,22.91,-2.65
2021-12-22,3632.68,3622.62,3635.9,3616.55,39482,3629.75,3616.67,18.23,21.97,-3.74
2021-12-23,3625.47,3643.34,3643.55,3618.05,38292,3623.41,3619.63,18.09,21.2,-3.1
2021-12-24,3645.39,3618.05,3648.96,3612.07,39034,3620.55,3622.32,15.76,20.11,-4.35
2021-12-27,3613.05,3615.97,3632.19,3601.94,32923,3625.02,3624.99,13.58,18.8,-5.22
2021-12-28,3619.64,3630.11,3631.08,3607.36,31620,3626.02,3628.3,12.85,17.61,-4.76
2021-12-29,3630.92,3597.0,3630.92,3596.32,30513,3620.89,3629.3,9.49,15.99,-6.5
2021-12-30,3596.49,3619.19,3628.92,3595.5,30783,3616.06,3631.57,8.52,14.5,-5.97
2021-12-31,3626.24,3639.78,3642.84,3624.94,32968,3620.41,3633.19,9.31,13.46,-4.15
2022-01-04,3649.15,3632.33,3651.89,3610.09,40502,3623.68,3635.34,9.22,12.61,-3.39
2022-01-05,3628.26,3595.18,3628.26,3583.47,42390,3616.7,3635.34,6.09,11.31,-5.22
2022-01-06,3581.22,3586.08,3594.49,3559.88,37154,3614.51,3632.77,2.84,9.61,-6.78
2022-01-07,3588.99,3579.54,3607.23,3577.1,43630,3606.58,3628.09,-0.27,7.64,-7.9
2022-01-10,3572.74,3593.52,3593.52,3555.13,35622,3597.33,3624.45,-1.58,5.79,-7.37
2022-01-11,3589.9,3567.44,3602.15,3562.75,35976,3584.35,3618.77,-4.67,3.7,-8.37
2022-01-12,3578.16,3597.43,3599.5,3572.1,34313,3584.8,3615.57,-4.64,2.03,-6.68
2022-01-13,3601.03,3555.26,3601.07,3555.16,36936,3578.64,3610.95,-7.94,0.04,-7.97
2022-01-14,3544.07,3521.26,3548.42,3519.32,37693,3566.98,3603.26,-13.14,-2.6,-10.54
2022-01-17,3522.09,3541.67,3546.09,3519.43,31288,3556.61,3598.72,-15.43,-5.16,-10.27
2022-01-18,3541.89,3569.91,3579.31,3531.33,37714,3557.11,3597.54,-14.8,-7.09,-7.71
2022-01-19,3567.63,3558.18,3578.73,3541.66,33323,3549.26,3594.19,-15.08,-8.69,-6.39
2022-01-20,3556.23,3555.06,3576.26,3540.55,37950,3549.22,3590.81,-15.37,-10.03,-5.35
2022-01-21,3546.75,3522.57,3547.0,3514.89,32653,3549.48,3584.78,-18.02,-11.62,-6.39
